time,ride_count,avg_ride_duration_min,temperature_2m,relative_humidity_2m,windspeed_10m,precipitation,cloudcover,rain,snowfall,snow_depth,winddirection_10m
2023-05-01 00:00:00,424,12.4311979829496,13.8,98,9.0,0.2,100,0.2,0.0,0.0,88
2023-05-01 01:00:00,186,16.7877047828798,13.7,99,10.7,0.0,100,0.0,0.0,0.0,147
2023-05-01 02:00:00,144,11.7743904557823,13.6,99,22.8,0.3,100,0.3,0.0,0.0,264
2023-05-01 03:00:00,99,9.90998510942761,11.3,85,34.9,0.5,100,0.5,0.0,0.0,295
2023-05-01 04:00:00,196,9.82280428659039,9.4,82,27.7,0.1,97,0.1,0.0,0.0,293
2023-05-01 05:00:00,737,9.11493494408208,8.5,83,21.6,0.0,0,0.0,0.0,0.0,266
2023-05-01 06:00:00,2231,9.72127777760564,7.4,84,25.8,0.0,97,0.0,0.0,0.0,257
2023-05-01 07:00:00,5059,11.8723495455008,8.4,78,25.2,0.0,0,0.0,0.0,0.0,256
2023-05-01 08:00:00,7453,12.4752897696183,10.7,68,22.2,0.0,0,0.0,0.0,0.0,253
2023-05-01 09:00:00,5491,13.9580161840928,12.1,58,23.2,0.0,0,0.0,0.0,0.0,251
2023-05-01 10:00:00,4169,15.3365486679571,13.6,51,20.3,0.0,27,0.0,0.0,0.0,250
2023-05-01 11:00:00,4342,16.063007371077,14.5,45,25.8,0.0,33,0.0,0.0,0.0,240
2023-05-01 12:00:00,4812,16.3532713078125,14.7,44,29.2,0.0,90,0.0,0.0,0.0,237
2023-05-01 13:00:00,5074,18.7364076602883,14.6,44,26.9,0.0,52,0.0,0.0,0.0,231
2023-05-01 14:00:00,5780,15.4721771910962,15.5,40,29.8,0.0,98,0.0,0.0,0.0,228
2023-05-01 15:00:00,6776,15.4162131471747,14.7,41,30.1,0.0,60,0.0,0.0,0.0,221
2023-05-01 16:00:00,7998,16.333780613097,14.7,43,25.2,0.0,18,0.0,0.0,0.0,217
2023-05-01 17:00:00,10515,17.7482935638321,15.4,41,24.3,0.0,3,0.0,0.0,0.0,212
2023-05-01 18:00:00,10142,14.7148700780537,14.9,45,23.6,0.0,66,0.0,0.0,0.0,219
